Company,Role,Date,URL
"Microsoft","SWE - Azure Networking","2026-01-14T06:44:56.211Z","https://apply.careers.microsoft.com/careers/job/1970393556657139?domain=microsoft.com"
"Microsoft ","SWE 1","2026-01-14T06:42:56.126Z","https://apply.careers.microsoft.com/careers/job/1970393556654596?domain=microsoft.com"
"Yahoo","Central Data Platform Engineer - Software Dev Engineer I","2026-01-14T06:38:06.601Z","https://ouryahoo.wd5.myworkdayjobs.com/en-US/careers/job/Central-Data-Platform-Engineer---Software-Dev-Engineer-I_JR0026738-1"
"HealthFirst","2026 Technology Early Career Development Program -Full Stack Development","2026-01-14T06:36:04.521Z","https://healthfirst.wd1.myworkdayjobs.com/healthfirst/job/New-York-NY/XMLNAME-2026-Technology-Early-Career-Development-Program--Full-Stack-Development_R021433?utm_source=Simplify&ref=Simplify"
"Ground Software Engineer I/II","Job Application for Ground Software Engineer I/II at Rocket Lab Corporation","2026-01-14T06:29:38.692Z","https://job-boards.greenhouse.io/rocketlab/jobs/7587006003?utm_source=Simplify&ref=Simplify"
"HP","Systems/Software Engineer I","2026-01-14T06:27:06.554Z","https://hpe.wd5.myworkdayjobs.com/en-US/Jobsathpe/job/Systems-Software-Engineer-I_1199912-1"
"Travelers","Software Engineer I (.NET, Node.js, React)","2026-01-14T06:15:30.144Z","https://travelers.wd5.myworkdayjobs.com/en-US/External/job/Software-Engineer-I--NET--Nodejs--React-_R-48474"
"magna","SWE1","2025-12-01T08:51:52.846Z","https://wd3.myworkdaysite.com/en-US/recruiting/magna/Magna/job/Goleta%2C-California%2C-US/Software-Engineer-I---Thermal-Cameras_R00193769/apply/applyManually?utm_source=Simplify&ref=Simplify"
"Software Engineer, Early Career","Job Application for Software Engineer, Early Career at Affirm","2025-12-01T09:11:13.519Z","https://job-boards.greenhouse.io/affirm/jobs/7485072003"
"Circle","New Grad Software Engineer, Backend 2026","2025-12-01T09:18:37.021Z","https://circle.wd1.myworkdayjobs.com/en-US/Circle/job/New-Grad-Software-Engineer--Backend-2024_JR100011-1"
